Company	Partnering Email / URL	BD Head Name (if found)	Recent Deal (2025-2026)	Region

=== TIER 1: BIG PHARMA (15 Companies) ===

Pfizer	https://www.pfizer.com/about/partners/submit-your-opportunities (web form)	N/A (submit via portal)	3SBio PD-1/VEGF bispecific ($1.25B upfront, 2025); YaoPharma GLP-1 oral (2025); Novavax vaccine ($530M, Jan 2026)	US (New York, NY)
Roche	https://www.roche.com/contact/partnering (TA-specific contacts listed)	Contacts by TA on partnering page	Zealand Pharma petrelintide collab (Mar 2025); 89bio acquisition ($3.5B, Sep 2025); Poseida CAR-T (Jan 2025)	Switzerland (Basel)
Novartis	https://www.novartis.com/partnering (web portal + form)	See Partnering Leadership Team page	Active in-licensing across oncology, immunology	Switzerland (Basel)
Merck (MSD)	https://www.merck.com/research/business-development-and-licensing/collaborate-with-us/ (web form)	N/A (submit via portal)	Hansoh Pharma oral GLP-1 (2025); Kelun-Biotech 7 ADCs; Daiichi Sankyo 3 DXd ADCs	US (Rahway, NJ)
AbbVie	https://www.abbvie.com/science/partner-with-us.html (portal); partneringday@abbvie.com	Michael Picek, Dir II BD&A	Active across oncology, immunology, neuroscience, obesity	US (North Chicago, IL)
Bristol Myers Squibb	https://www.bms.com/business-development/begin-discussion.html (web form)	See BD Leadership Team page	Active in oncology, immunology, cardiovascular	US (Princeton, NJ)
AstraZeneca	https://www.astrazeneca.com/partnering.html; david.vallo@astrazeneca.com (Head Alliance Mgmt); susanna.myhre@astrazeneca.com (Head Academic)	David Vallo (Alliance Mgmt); Susanna Myhre (Academic)	Active across oncology, CVRM, respiratory	UK (Cambridge) / Sweden
Eli Lilly	https://www.lilly.com/partners/connect (portal by TA)	N/A (TA-specific teams)	Over $3B in deals Jan 2025; active in obesity, oncology, neuroscience	US (Indianapolis, IN)
Sanofi	https://www.sanofi.com/en/partnering/contact-business-development-team (web form); donna.martin@sanofi.com (Vaccines BD)	Donna Martin (Global Head BD, Vaccines)	Active across immunology, oncology, rare disease	France (Paris)
GSK	https://www.gsk.com/en-gb/innovation/partnerships/ (portal)	N/A (recently hired Luke Sheldon from AZ for BD)	ADC, neuro and fibrotic disease deals (2025 surge)	UK (London)
Takeda	partnering@takeda.com (Ventures); oncology-bd@takeda.com (Oncology)	N/A (Center for External Innovation)	Active in GI, neuroscience, oncology, rare disease	Japan (Tokyo) / US (Cambridge, MA)
Bayer	https://www.bayer.com/en/pharma/partnering; oliver.renner@bayer.com; derin.denham@bayer.com	Oliver Renner; Derin Denham	Kumquat Biosciences precision oncology collab (2025)	Germany (Leverkusen)
Boehringer Ingelheim	https://www.boehringer-ingelheim.com/partnering/human-health-partnering/how-connect/submit-your-opportunity (portal); Partneringforanimalhealth@boehringer-ingelheim.com (Animal Health)	TA-specific contacts on team page	Active in oncology, immunology, CNS, cardiometabolic	Germany (Ingelheim)
Amgen	https://www.amgenbd.com/partnering/ (dedicated BD portal)	N/A (submit via amgenbd.com)	Active in oncology, inflammation, cardiovascular, bone	US (Thousand Oaks, CA)
J&J / Janssen	jnjinnovation@its.jnj.com	Innovation Centers in Boston, SF, London, Shanghai	Active in oncology, immunology, neuroscience, cardiovascular	US (New Brunswick, NJ)

=== TIER 2: SPECIALTY / MID-PHARMA (15 Companies) ===

Daiichi Sankyo	https://www.daiichisankyo.com/partnering/ (portal); https://daiichisankyo.us/business-development	BD teams in Tokyo, Basking Ridge NJ, Munich	Merck ADC collab ($22B total, 2023-ongoing); AstraZeneca Enhertu	Japan (Tokyo) / US (Basking Ridge, NJ)
Astellas	business.development@us.astellas.com; https://www.astellas.com/en/partnering/get-in-touch (registration form)	J. George Sarmiento, Sr Dir BD; Jean Rumsfield, Dir BD	Active in oncology, urology, transplant	Japan (Tokyo) / US (Northbrook, IL)
Eisai	https://www.eisai.com/inquiry/ (contact form)	Shinji Yoshitake, Corp Licensing & Intl BD Dir	Biogen/Eisai Lecanemab (Leqembi) for Alzheimer's ongoing	Japan (Tokyo) / US (Nutley, NJ)
Otsuka	https://www.otsuka.co.jp/en/partnering-and-licensing/inquiry-form/form (inquiry form)	Yusuke Ochi, Global Dir BD; Tadao Yoshihara, Global Licensing	Active in neuroscience, nephrology, oncology	Japan (Tokyo)
Sumitomo Pharma	https://www.sumitomo-pharma.com/inquiry/ (contact form); https://www.us.sumitomo-pharma.com/contact-us/	Takenori Yonezawa, Mgr Licensing	Active in psychiatry, neurology, rare disease	Japan (Osaka) / US (Cambridge, MA)
